,id,centroid,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions,위도,경도
10,14,POINT (128.0958071082 35.17907871319903),칠암동,"[[128.09304521207994, 35.17683802532898], [128.09307795909518, 35.181346370489806], [128.09856915620253, 35.18131935733641], [128.09853610603278, 35.17681101666209], [128.09304521207994, 35.17683802532898]]",1373.0,48.47058824,328.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,35.17907871319903,128.0958071082
11,15,POINT (128.1615530286781 35.16070348951216),금곡면,"[[128.15878998210988, 35.158464306605254], [128.1588263345656, 35.162972608778524], [128.16431622701822, 35.16294262846823], [128.1642795716975, 35.15843433127535], [128.15878998210988, 35.158464306605254]]",0.0,4.13253012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.16070348951216,128.1615530286781
12,16,POINT (128.1121450394375 35.16096321615483),호탄동,"[[128.1093833206731, 35.15872289245342], [128.10941694726526, 35.16323123759088], [128.11490690995615, 35.163203496090404], [128.11487298048345, 35.15869515556146], [128.1093833206731, 35.15872289245342]]",3885.0,24.4516129,862.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,35.16096321615483,128.1121450394375
13,18,POINT (128.2172424295051 35.25055555100567),지수면,"[[128.21447478803822, 35.24831772549835], [128.21451434434397, 35.252825907970916], [128.22001022343463, 35.252793332212924], [128.21997036293473, 35.24828515514565], [128.21447478803822, 35.24831772549835]]",23.0,1.37254902,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.25055555100567,128.2172424295051
14,19,POINT (128.0852777980245 35.24224883042248),집현면,"[[128.08251402237653, 35.24000794374432], [128.08254626315298, 35.24451625030342], [128.0880417260217, 35.24448967330925], [128.0880091811437, 35.23998137116067], [128.08251402237653, 35.24000794374432]]",39.0,2.517241379,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.24224883042248,128.0852777980245
15,20,POINT (128.1502507697689 35.12018802419394),정촌면,"[[128.14748941525994, 35.117948550372724], [128.14752509061017, 35.12245689291411], [128.15301227574437, 35.12242745416977], [128.15297629813023, 35.117919116521364], [128.14748941525994, 35.117948550372724]]",14.0,4.276923077,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.12018802419394,128.1502507697689
16,21,POINT (128.2879017494602 35.16896455449499),일반성면,"[[128.28513500981995, 35.16672830365946], [128.28517834693258, 35.171236474014115], [128.29066864098158, 35.17120076089282], [128.29062500091447, 35.16669259647013], [128.28513500981995, 35.16672830365946]]",229.0,3.188679245,53.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,35.16896455449499,128.2879017494602
17,22,POINT (128.2046938829013 35.07028985770301),금곡면,"[[128.20193276611272, 35.068051603249124], [128.20197136961008, 35.072559932357976], [128.20745515080802, 35.072528068184994], [128.20741624580225, 35.068019744375604], [128.20193276611272, 35.068051603249124]]",16.0,0.932773109,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.07028985770301,128.2046938829013
18,23,POINT (128.1676327210742 35.23280566758572),금산면,"[[128.16486703469735, 35.2305666788589], [128.16490382048215, 35.235074921709305], [128.1703985597622, 35.235044612226496], [128.1703614700364, 35.23053637440653], [128.16486703469735, 35.2305666788589]]",22.0,6.915492958,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.23280566758572,128.1676327210742
19,24,POINT (128.1294840172474 35.27358603954298),미천면,"[[128.1267179629738, 35.271346197495454], [128.12675269045482, 35.27585444384396], [128.13225022412203, 35.27582583758415], [128.13221519207963, 35.271317595980996], [128.1267179629738, 35.271346197495454]]",40.0,1.901639344,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.27358603954298,128.1294840172474
20,25,POINT (128.1509329109459 35.20584587362806),금산면,"[[128.14816860344493, 35.20360647850938], [128.1482044296317, 35.20811475657738], [128.15369737055067, 35.20808522476545], [128.15366124082215, 35.203576951600525], [128.14816860344493, 35.20360647850938]]",30.0,6.915492958,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.20584587362806,128.1509329109459
21,27,POINT (128.1883186694145 35.07940100430109),금곡면,"[[128.1855576821771, 35.07716237873828], [128.1855953978849, 35.08167071671151], [128.19107980783113, 35.08163958593919], [128.19104179047534, 35.07713125314286], [128.1855576821771, 35.07716237873828]]",0.0,1.632183908,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.07940100430109,128.1883186694145
22,28,POINT (128.0186169733212 35.12983984921639),내동면,"[[128.01585885170536, 35.12759734965256], [128.01588728485655, 35.13210579048043], [128.02137524642174, 35.13208230541376], [128.02134651083452, 35.12757386848893], [128.01585885170536, 35.12759734965256]]",6.0,1.2125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.12983984921639,128.0186169733212
23,29,POINT (128.1839651147038 35.21468069698687),금산면,"[[128.18119960921322, 35.212442072860455], [128.18123727334694, 35.21695031409224], [128.18673077237676, 35.21691927699419], [128.1866928045773, 35.212411040914795], [128.18119960921322, 35.212442072860455]]",0.0,6.915492958,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.21468069698687,128.1839651147038
24,30,POINT (128.1231590344417 35.16541557212327),호탄동,"[[128.1203968651118, 35.16317550582875], [128.12043110506582, 35.1676838383171], [128.1259213555634, 35.167655594603694], [128.12588681266496, 35.16314726680701], [128.1203968651118, 35.16317550582875]]",11.0,24.4516129,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.16541557212327,128.1231590344417
25,32,POINT (128.1229528232878 35.13836553021473),정촌면,"[[128.12019158498117, 35.136125439699654], [128.12022577934542, 35.1406337925296], [128.125714213185, 35.140605576958556], [128.12567971627965, 35.136097228817235], [128.12019158498117, 35.136125439699654]]",58.0,4.276923077,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.13836553021473,128.1229528232878
26,34,POINT (128.1352278765119 35.30511490203078),미천면,"[[128.13246057981323, 35.302875215867836], [128.13249566635065, 35.30738343369079], [128.13799532604972, 35.30735454411656], [128.13795993447894, 35.30284633108405], [128.13246057981323, 35.302875215867836]]",74.0,1.901639344,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.30511490203078,128.1352278765119
27,36,POINT (127.9641226021144 35.19768901445012),대평면,"[[127.96136364810178, 35.19544530561763], [127.96138914159577, 35.19995373253546], [127.96688170809372, 35.19993268001568], [127.96685591114135, 35.19542425659362], [127.96136364810178, 35.19544530561763]]",13.0,2.740740741,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.19768901445012,127.9641226021144
28,37,POINT (127.9584782351804 35.17065930796366),수곡면,"[[127.95572035660868, 35.16841545238031], [127.95574551310256, 35.17292390302308], [127.961236265515, 35.17290312034316], [127.96121080596556, 35.16839467315254], [127.95572035660868, 35.16841545238031]]",7.0,0.932773109,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.17065930796366,127.9584782351804
29,38,POINT (128.3317766681645 35.16416279198569),이반성면,"[[128.32900891298277, 35.16192755573313], [128.32905466351048, 35.16643568088859], [128.33454457520781, 35.16639798364356], [128.33449852181045, 35.16188986474993], [128.32900891298277, 35.16192755573313]]",41.0,1.630952381,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.16416279198569,128.3317766681645
30,40,POINT (128.2218202084132 35.146833943041),금곡면,"[[128.21905601009985, 35.14459614340424], [128.2190956675422, 35.14910439872119], [128.2245845584188, 35.149071698522405], [128.2245445983336, 35.1445634486386], [128.21905601009985, 35.14459614340424]]",45.0,4.13253012,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.146833943041,128.2218202084132
31,41,POINT (128.2603250378871 35.15561539051994),진성면,"[[128.25755950014226, 35.153378489513344], [128.25760129459985, 35.15788669912239], [128.26309072740383, 35.15785224721311], [128.263048630183, 35.153344043327536], [128.25755950014226, 35.153378489513344]]",0.0,1.607594937,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.15561539051994,128.2603250378871
32,43,POINT (128.0191899321033 35.22000795041451),명석면,"[[128.01642871612094, 35.21776552367865], [128.01645727583215, 35.222273896858276], [128.02195130024194, 35.22225033364188], [128.0219224367486, 35.217741964373765], [128.01642871612094, 35.21776552367865]]",0.0,1.79245283,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.22000795041451,128.0191899321033
33,44,POINT (128.3425237587522 35.1415463165066),이반성면,"[[128.33975649342685, 35.13931131089045], [128.33980279825323, 35.14381944055188], [128.34529117577506, 35.14378127752314], [128.34524456841945, 35.13927315420274], [128.33975649342685, 35.13931131089045]]",31.0,1.630952381,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.1415463165066,128.3425237587522
