,id,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions
577,769,금산면,"[[128.15915387017742, 35.20354717556639], [128.15919030344597, 35.208055443786854], [128.1646832282501, 35.20802541364283], [128.16464649144336, 35.20351715040816], [128.15915387017742, 35.20354717556639]]",40.0,6.915492958,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
576,767,미천면,"[[128.1271700222684, 35.329953135076956], [128.12720485014142, 35.334461337261466], [128.1327063492656, 35.334432669265], [128.13267121595086, 35.32992447183257], [128.1271700222684, 35.329953135076956]]",17.0,1.901639344,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
575,766,일반성면,"[[128.2960710490568, 35.16214847865988], [128.29611498231972, 35.16665664051875], [128.30160495396845, 35.166620435806784], [128.30156071782258, 35.16211227996186], [128.2960710490568, 35.16214847865988]]",43.0,3.188679245,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
574,764,일반성면,"[[128.2959393077857, 35.148623972628556], [128.29598321179193, 35.15313214471457], [128.30147227499356, 35.153095958042485], [128.30142806830602, 35.148587791968446], [128.2959393077857, 35.148623972628556]]",9.0,3.188679245,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
573,762,금곡면,"[[128.18082342751129, 35.167359473644346], [128.18086100810262, 35.171867748854716], [128.18635147350696, 35.17183676325533], [128.1863135899234, 35.167328493191754], [128.18082342751129, 35.167359473644346]]",12.0,4.13253012,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
572,761,금곡면,"[[128.1805230830143, 35.131293149693455], [128.1805605969042, 35.13580145207265], [128.18604864025303, 35.13577050763198], [128.18601082390853, 35.131262210395136], [128.1805230830143, 35.131293149693455]]",45.0,1.632183908,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
571,760,지수면,"[[128.25281862275287, 35.23456004132202], [128.2528602806165, 35.23906819531111], [128.25835518398688, 35.23903388970495], [128.25831322214563, 35.23452574140914], [128.25281862275287, 35.23456004132202]]",85.0,1.37254902,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
570,758,수곡면,"[[127.89007152800555, 35.21823858580684], [127.89009310037169, 35.22274703752876], [127.89558725359485, 35.222729208823985], [127.89556537741814, 35.218220760061676], [127.89007152800555, 35.21823858580684]]",46.0,0.932773109,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
568,756,일반성면,"[[128.27955896945355, 35.15774739937241], [128.27960198450216, 35.16225558243255], [128.28509168232935, 35.16222012989666], [128.28504836445865, 35.157711952725876], [128.27955896945355, 35.15774739937241]]",33.0,3.188679245,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
559,742,명석면,"[[128.0386717715629, 35.25824488446402], [128.03870160595926, 35.26275321126712], [128.0441983413484, 35.26272861407811], [128.04416820256796, 35.258220291356054], [128.0386717715629, 35.25824488446402]]",62.0,1.79245283,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
