index,name,parking_type,road_address,jibun_address,유형,위도,경도
129,상봉1차아파트관리실공중전화(옥외),공중전화,경남 진주시 상봉동 800-7,경남 진주시 상봉동 800-7,옥외,35.1989739,128.0705786
130,일반성면사무소이전공중전화(옥외),공중전화,경남 진주시 일반성면 창촌리 650-2,경남 진주시 일반성면 창촌리 650-2,옥외,35.1698341,128.2785652
131,섬마을감자탕앞공중전화(옥외),공중전화,경남 진주시 옥봉동 809,경남 진주시 옥봉동 809,옥외,35.1913297,128.0916314
132,kt동진주위편공중전화(옥외),공중전화,경남 진주시 솔밭로123번길 1,상대동 332-1,옥외,35.1826175,128.1103732
133,하대우체국앞공중전화(옥외),공중전화,경남 진주시 하대동 147,,옥외,35.1872086,128.1227022
134,베스트광고디자인앞공중전화(옥외),공중전화,경남 진주시 신안동 39,경남 진주시 신안동 39,옥외,35.1893794,128.0683721
135,경남은행서진주점앞공중전화(옥외),공중전화,경남 진주시 진주대로1163번길 7-1,봉곡동 32,옥외,35.1949926,128.0762806
136,중앙광장휴게실앞공중전화(옥외),공중전화,경남 진주시 망경동 16-1,,옥외,35.1872553,128.0825782
137,일신탕건너공중전화(옥외),공중전화,경남 진주시 비봉로97번길 15-7,상봉동 1440,옥외,35.1983829,128.0774996
138,인사동새마을금고옆공중전화(옥외),공중전화,경남 진주시 창렬로20번길 1,,옥외,35.1911456,128.0725374
139,탑마트건너공중전화(옥외),공중전화,경남 진주시 도동로248번길 19-1,하대동 311-2,옥외,35.1926927,128.1240511
140,우리들마트건너공중전화(옥외),공중전화,경남 진주시 상봉동 998-2,,옥외,35.19823,128.0793303
141,삼가식육점앞공중전화(옥외),공중전화,경남 진주시 진양호로589번길 8,옥봉동 551-6,옥외,35.194789,128.0900091
142,진주중학교앞공중전화(옥외),공중전화,경남 진주시 평안동 104,,옥외,35.197228,128.0828347
143,진주성남병원_2층공중전화(옥내),공중전화,경남 진주시 문산읍 문산로 831,안전리 368-3,옥내,35.1571883,128.200923
144,신안주공1차후문경비실옆공중전화(옥외),공중전화,경남 진주시 신안들말길 17,신안동 708-1,옥외,35.1775515,128.0690591
145,진주노인요양병원_스포츠센타2층공중전화(옥내),공중전화,경남 진주시 문산읍 제곡길98번길 49-6,삼곡리 195,옥내,35.1526506,128.1769655
146,은빛마을102동앞공중전화(옥외),공중전화,경남 진주시 진주대로 789,,옥외,35.1709569,128.0935525
147,진주봉원중학교본관2층현관공중전화(옥내),공중전화,경남 진주시 진주성로 169,상봉동 1445,옥내,35.2045049,128.0736657
148,진주국도건설사무소앞공중전화(옥외),공중전화,경남 진주시 남강로 43,평거동 695-134,옥외,35.1640345,128.0400953
149,화인아파트공중전화(옥외),공중전화,경남 진주시 상봉대룡길 22,,옥외,35.20153,128.0684197
150,공단로타리공중전화(옥외),공중전화,경남 진주시 상대동 334-1,경남 진주시 상대동 334-1,옥외,35.1808835,128.1161908
151,미공조명앞공중전화(옥외),공중전화,경남 진주시 인사동 199,경남 진주시 인사동 199,옥외,35.1922004,128.0704608
152,새진주정신병원_3층공중전화(옥내),공중전화,경남 진주시 문산읍 제곡길98번길 49-6,삼곡리 195,옥내,35.1526506,128.1769655
153,판문현대아파트공중전화(옥외),공중전화,경남 진주시 진양호로51번길 6-7,,옥외,35.1680936,128.0461477
154,흥한웰가_정문공중전화(옥외),공중전화,경남 진주시 진주대로 1317,이현동 1180,옥외,35.1939114,128.0573317
155,거북이휴게소앞공중전화(옥외),공중전화,경남 진주시 유곡동 531-12,,옥외,35.1938076,128.0666192
156,진주고교과학관입구공중전화(옥내),공중전화,경남 진주시 의곡길41번길 18,상봉동 987-1,옥내,35.2003625,128.0809375
157,반성역입구우공중전화(옥내),공중전화,경남 진주시 일반성면 운천리 893,,옥내,35.1747261,128.2578073
158,경남체육고교진용생활관남공중전화(옥내),공중전화,경남 진주시 진성면 진의로 178-27,가진리 75,옥내,35.2028345,128.2248235
159,대동아파트공중전화(옥외),공중전화,경남 진주시 도동천로184번길 5,,옥외,35.1859095,128.1190256
160,진주휴게소공중전화(옥외),공중전화,경남 진주시 남해고속도로 194,호탄동 382,옥외,35.1597269,128.1223433
161,미화당앞공중전화(옥외),공중전화,경남 진주시 진주대로 1035,,옥외,35.1920082,128.0844969
162,진주고속터미널우측매점옆공중전화(옥내),공중전화,경남 진주시 동진로 16,칠암동 489-2,옥내,35.1783304,128.0927279
163,진주봉원중학교본관2층공중전화(옥내),공중전화,경남 진주시 진주성로 169,상봉동 1445,옥내,35.2045049,128.0736657
164,동성상가정문앞공중전화(옥외),공중전화,경남 진주시 강남동 381-1,,옥외,35.1840495,128.0884303
165,상평사거리공중전화(옥외),공중전화,경남 진주시 도동천로 62,상평동 283-1,옥외,35.1736674,128.110484
166,정은빌옆공중전화(옥외),공중전화,경남 진주시 의병로71번길 5-1,,옥외,35.2002053,128.0680592
167,평거주공1차아파트경비실옆공중전화(옥외),공중전화,경남 진주시 진양호로185번길 7,평거동 326,옥외,35.1718906,128.0575222
168,자유시장앞공중전화(옥외),공중전화,경남 진주시 솔밭로123번길 1,,옥외,35.1826175,128.1103732
169,망경한보@후문공중전화(옥외),공중전화,경남 진주시 망경로 234-5,망경동 253,옥외,35.18213,128.0803574
170,상공회의소앞공중전화(옥외),공중전화,경남 진주시 상대동 334-1,,옥외,35.1808835,128.1161908
171,구부산교통사거리공중전화(옥외),공중전화,경남 진주시 장대동 139,경남 진주시 장대동 139,옥외,35.1940764,128.0872345
172,진주성남병원_1층공중전화(옥내),공중전화,경남 진주시 문산읍 문산로 831,안전리 368-3,옥내,35.1571883,128.200923
173,한보프라자빌딩앞공중전화(옥외),공중전화,경남 진주시 솔밭로123번길 1,,옥외,35.1826175,128.1103732
174,봉래초등학교좌측건물1층공중전화(옥내),공중전화,경남 진주시 향교로59번길 13-5,봉래동 27-2,옥내,35.1994072,128.0889435
175,이현상가옆공중전화(옥외),공중전화,경남 진주시 이현동 45,,옥외,35.1920299,128.0653122
176,서부우편취급국옆공중전화(옥외),공중전화,경남 진주시 신안동 342,경남 진주시 신안동 342,옥외,35.1812926,128.0693942
